Results from heasarc_fermilpsc: Fermi LAT Point Source Catalog
Coordinate system:  Equatorial
|ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|source_type|
|23 44 40.3|-15 54 25|   1.46896e-09|         3.08020e-10|bzq        |
|23 47 07.3|+51 42 26|   1.42581e-09|         3.11403e-10|bzb        |
|23 47 19.9|+07 10 26|   4.97518e-10|         2.39211e-10|           |
|23 48 00.2|-16 29 24|   1.85589e-09|         3.39424e-10|bzq        |
|23 50 07.3|-30 05 19|   5.92018e-10|         2.57276e-10|           |
|23 52 06.3|+17 52 08|   1.08776e-09|         2.54430e-10|           |
|23 55 58.4|-66 13 54|   6.98307e-10|         2.49681e-10|           |
|23 56 01.2|-52 53 59|   1.18065e-09|         3.05847e-10|           |
|23 56 11.9|+40 37 56|   8.76074e-10|         3.19567e-10|           |
|23 57 17.0|+04 45 36|   7.39562e-10|         0.00000e+00|           |
|23 58 31.1|-18 09 39|   5.13622e-10|         2.23108e-10|           |
|23 59 00.9|-30 35 07|   1.05861e-09|         2.75729e-10|bzb        |
